datetime,open,high,low,close,volume,amount
2023-01-16 09:35,0.929,0.931,0.928,0.931,3205700,2980050.00
2023-01-16 09:40,0.931,0.932,0.930,0.932,3741600,3483319.00
2023-01-16 09:45,0.932,0.932,0.931,0.932,2696800,2512331.00
2023-01-16 09:50,0.931,0.932,0.930,0.932,2562900,2386638.00
2023-01-16 09:55,0.931,0.934,0.931,0.933,5570900,5199218.00
2023-01-16 10:00,0.933,0.935,0.933,0.933,2839300,2651345.00
2023-01-16 10:05,0.934,0.935,0.933,0.934,2135300,1994374.00
2023-01-16 10:10,0.935,0.937,0.934,0.936,4476000,4188136.00
2023-01-16 10:15,0.937,0.940,0.936,0.938,4962200,4652863.00
2023-01-16 10:20,0.938,0.940,0.937,0.937,1231500,1155881.00
2023-01-16 10:25,0.937,0.938,0.936,0.937,2125100,1991724.00
2023-01-16 10:30,0.936,0.938,0.936,0.937,1930300,1808346.00
2023-01-16 10:35,0.937,0.938,0.936,0.937,699300,655249.00
2023-01-16 10:40,0.937,0.938,0.937,0.937,627300,588340.00
2023-01-16 10:45,0.938,0.939,0.937,0.938,1414600,1327578.00
2023-01-16 10:50,0.939,0.939,0.938,0.939,216600,203332.00
2023-01-16 10:55,0.939,0.939,0.938,0.938,1780200,1670543.00
2023-01-16 11:00,0.938,0.941,0.938,0.940,2482800,2333874.00
2023-01-16 11:05,0.940,0.941,0.940,0.941,407500,383153.00
2023-01-16 11:10,0.941,0.941,0.939,0.939,345700,324969.00
2023-01-16 11:15,0.939,0.940,0.938,0.938,552700,518748.00
2023-01-16 11:20,0.939,0.940,0.938,0.939,301600,283104.00
2023-01-16 11:25,0.939,0.940,0.939,0.939,599500,563131.00
2023-01-16 11:30,0.940,0.941,0.939,0.941,1384500,1302078.00
2023-01-16 13:05,0.939,0.942,0.939,0.941,1890500,1778584.00
2023-01-16 13:10,0.941,0.943,0.941,0.942,694600,654216.00
2023-01-16 13:15,0.943,0.943,0.941,0.943,813600,767153.00
2023-01-16 13:20,0.942,0.944,0.941,0.941,604900,570376.00
2023-01-16 13:25,0.941,0.943,0.941,0.941,630300,593346.00
2023-01-16 13:30,0.940,0.942,0.940,0.941,2144100,2017439.00
2023-01-16 13:35,0.939,0.941,0.939,0.939,1128400,1061006.00
2023-01-16 13:40,0.939,0.940,0.939,0.940,698200,655624.00
2023-01-16 13:45,0.939,0.940,0.938,0.938,323800,304105.00
2023-01-16 13:50,0.938,0.940,0.938,0.938,439700,412780.00
2023-01-16 13:55,0.938,0.940,0.938,0.940,283200,265942.00
2023-01-16 14:00,0.938,0.940,0.938,0.939,409700,384801.00
2023-01-16 14:05,0.938,0.939,0.938,0.939,183700,172359.00
2023-01-16 14:10,0.939,0.939,0.938,0.938,492500,462063.00
2023-01-16 14:15,0.938,0.939,0.938,0.939,198600,186338.00
2023-01-16 14:20,0.938,0.939,0.938,0.939,147100,138013.00
2023-01-16 14:25,0.938,0.940,0.938,0.939,558700,524402.00
2023-01-16 14:30,0.937,0.938,0.937,0.937,566400,530840.00
2023-01-16 14:35,0.938,0.939,0.937,0.939,218300,204854.00
2023-01-16 14:40,0.939,0.939,0.937,0.937,492900,462207.00
2023-01-16 14:45,0.938,0.938,0.937,0.937,243700,228372.00
2023-01-16 14:50,0.937,0.938,0.936,0.936,382700,358557.00
2023-01-16 14:55,0.937,0.937,0.936,0.937,431400,404019.00
2023-01-16 15:00,0.937,0.938,0.936,0.936,936700,877410.00
2023-01-17 09:35,0.936,0.937,0.936,0.937,1572900,1473414.00
2023-01-17 09:40,0.937,0.938,0.936,0.938,2139200,2004008.00
2023-01-17 09:45,0.938,0.938,0.937,0.937,3713900,3482648.00
2023-01-17 09:50,0.937,0.938,0.936,0.936,1283200,1202180.00
2023-01-17 09:55,0.936,0.937,0.935,0.935,2508900,2348360.00
2023-01-17 10:00,0.936,0.936,0.934,0.935,3070000,2871834.00
2023-01-17 10:05,0.936,0.936,0.935,0.936,2556700,2392951.00
2023-01-17 10:10,0.936,0.937,0.935,0.936,1863400,1744080.00
2023-01-17 10:15,0.936,0.937,0.935,0.936,1333100,1247729.00
2023-01-17 10:20,0.935,0.936,0.935,0.935,1460700,1365759.00
2023-01-17 10:25,0.935,0.936,0.935,0.935,575500,538427.00
2023-01-17 10:30,0.935,0.936,0.934,0.936,786600,735587.00
2023-01-17 10:35,0.935,0.937,0.935,0.936,738900,691592.00
2023-01-17 10:40,0.937,0.937,0.935,0.936,658100,615936.00
2023-01-17 10:45,0.935,0.936,0.935,0.935,490200,458774.00
2023-01-17 10:50,0.935,0.936,0.935,0.936,396300,370541.00
2023-01-17 10:55,0.936,0.936,0.935,0.936,923100,863954.00
2023-01-17 11:00,0.936,0.937,0.935,0.937,278900,261007.00
2023-01-17 11:05,0.936,0.936,0.935,0.936,502900,470567.00
2023-01-17 11:10,0.936,0.937,0.935,0.935,1495600,1399895.00
2023-01-17 11:15,0.935,0.936,0.935,0.935,1995200,1864776.00
2023-01-17 11:20,0.935,0.936,0.934,0.935,156100,145978.00
2023-01-17 11:25,0.935,0.935,0.935,0.935,76700,71715.00
2023-01-17 11:30,0.935,0.936,0.934,0.936,99100,92651.00
2023-01-17 13:05,0.936,0.936,0.934,0.934,968200,905317.00
2023-01-17 13:10,0.934,0.935,0.934,0.934,64800,60524.00
2023-01-17 13:15,0.935,0.936,0.934,0.934,591800,553321.00
2023-01-17 13:20,0.935,0.935,0.934,0.935,84600,79041.00
2023-01-17 13:25,0.934,0.935,0.933,0.934,1934600,1806903.00
2023-01-17 13:30,0.934,0.934,0.933,0.933,478400,446670.00
2023-01-17 13:35,0.934,0.934,0.933,0.934,332600,310539.00
2023-01-17 13:40,0.933,0.934,0.933,0.933,312400,291725.00
2023-01-17 13:45,0.933,0.934,0.933,0.934,223200,208307.00
2023-01-17 13:50,0.934,0.934,0.933,0.934,69500,64856.00
2023-01-17 13:55,0.934,0.935,0.933,0.934,271300,253395.00
2023-01-17 14:00,0.934,0.935,0.934,0.934,7800,7292.00
2023-01-17 14:05,0.935,0.936,0.934,0.935,582900,545132.00
2023-01-17 14:10,0.935,0.936,0.934,0.934,366100,342272.00
2023-01-17 14:15,0.934,0.936,0.934,0.936,332700,311056.00
2023-01-17 14:20,0.935,0.936,0.935,0.935,87200,81543.00
2023-01-17 14:25,0.936,0.936,0.935,0.936,482000,450678.00
2023-01-17 14:30,0.935,0.936,0.935,0.935,709900,664179.00
2023-01-17 14:35,0.936,0.936,0.935,0.936,146900,137360.00
2023-01-17 14:40,0.936,0.936,0.935,0.935,292100,273396.00
2023-01-17 14:45,0.936,0.936,0.935,0.936,10100,9451.00
2023-01-17 14:50,0.936,0.936,0.934,0.936,397000,371195.00
2023-01-17 14:55,0.936,0.936,0.935,0.935,429200,401469.00
2023-01-17 15:00,0.936,0.937,0.935,0.936,1008200,943712.00
2023-01-18 09:35,0.935,0.938,0.935,0.938,1228000,1150480.00
2023-01-18 09:40,0.938,0.938,0.936,0.936,998600,936232.00
2023-01-18 09:45,0.936,0.937,0.936,0.936,1019400,954240.00
2023-01-18 09:50,0.937,0.938,0.937,0.938,1346400,1261868.00
2023-01-18 09:55,0.937,0.938,0.936,0.937,1004500,941284.00
2023-01-18 10:00,0.936,0.937,0.936,0.937,587600,550095.00
2023-01-18 10:05,0.937,0.938,0.936,0.937,1712100,1604226.00
2023-01-18 10:10,0.937,0.939,0.937,0.939,2654400,2489832.00
2023-01-18 10:15,0.938,0.939,0.938,0.938,453900,426080.00
2023-01-18 10:20,0.938,0.939,0.937,0.938,1359300,1274339.00
