datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
2023-04-28 15:00:00,0.462,0.461,0.462,0.461,43638200.0,20140458.0,2023,4,28,15,0,2023-04-28 15:00,43638200.0
2023-04-28 14:55:00,0.461,0.462,0.462,0.46,42217400.0,19466116.0,2023,4,28,14,55,2023-04-28 14:55,42217400.0
2023-04-28 14:50:00,0.461,0.46,0.461,0.46,24719100.0,11387169.0,2023,4,28,14,50,2023-04-28 14:50,24719100.0
2023-04-28 14:45:00,0.461,0.46,0.461,0.46,13161000.0,6063278.0,2023,4,28,14,45,2023-04-28 14:45,13161000.0
2023-04-28 14:40:00,0.461,0.461,0.461,0.46,12784000.0,5889279.0,2023,4,28,14,40,2023-04-28 14:40,12784000.0
2023-04-28 14:35:00,0.461,0.461,0.461,0.46,29247100.0,13480306.0,2023,4,28,14,35,2023-04-28 14:35,29247100.0
2023-04-28 14:30:00,0.46,0.461,0.461,0.46,23616700.0,10884813.0,2023,4,28,14,30,2023-04-28 14:30,23616700.0
2023-04-28 14:25:00,0.46,0.46,0.461,0.46,11961300.0,5506032.0,2023,4,28,14,25,2023-04-28 14:25,11961300.0
2023-04-28 14:20:00,0.461,0.461,0.461,0.46,10225500.0,4713495.0,2023,4,28,14,20,2023-04-28 14:20,10225500.0
2023-04-28 14:15:00,0.461,0.461,0.461,0.46,12314300.0,5674393.0,2023,4,28,14,15,2023-04-28 14:15,12314300.0
2023-04-28 14:10:00,0.46,0.461,0.461,0.46,6971000.0,3208134.0,2023,4,28,14,10,2023-04-28 14:10,6971000.0
2023-04-28 14:05:00,0.461,0.461,0.461,0.46,2958400.0,1362566.0,2023,4,28,14,5,2023-04-28 14:05,2958400.0
2023-04-28 14:00:00,0.46,0.46,0.461,0.46,5892900.0,2713438.0,2023,4,28,14,0,2023-04-28 14:00,5892900.0
2023-04-28 13:55:00,0.461,0.46,0.461,0.46,4927100.0,2270916.0,2023,4,28,13,55,2023-04-28 13:55,4927100.0
2023-04-28 13:50:00,0.461,0.461,0.462,0.46,5898700.0,2719487.0,2023,4,28,13,50,2023-04-28 13:50,5898700.0
2023-04-28 13:45:00,0.46,0.46,0.461,0.46,15005100.0,6916336.0,2023,4,28,13,45,2023-04-28 13:45,15005100.0
2023-04-28 13:40:00,0.461,0.461,0.461,0.46,3995700.0,1841626.0,2023,4,28,13,40,2023-04-28 13:40,3995700.0
2023-04-28 13:35:00,0.46,0.461,0.461,0.46,2753100.0,1267984.0,2023,4,28,13,35,2023-04-28 13:35,2753100.0
2023-04-28 13:30:00,0.46,0.461,0.461,0.46,7780500.0,3585659.0,2023,4,28,13,30,2023-04-28 13:30,7780500.0
2023-04-28 13:25:00,0.462,0.461,0.462,0.46,23389100.0,10780418.0,2023,4,28,13,25,2023-04-28 13:25,23389100.0
2023-04-28 13:20:00,0.461,0.462,0.462,0.461,5711100.0,2634771.0,2023,4,28,13,20,2023-04-28 13:20,5711100.0
2023-04-28 13:15:00,0.462,0.462,0.462,0.461,10655700.0,4918220.0,2023,4,28,13,15,2023-04-28 13:15,10655700.0
2023-04-28 13:10:00,0.462,0.462,0.463,0.461,11461900.0,5293551.0,2023,4,28,13,10,2023-04-28 13:10,11461900.0
2023-04-28 13:05:00,0.464,0.462,0.464,0.461,69335904.0,32072640.0,2023,4,28,13,5,2023-04-28 13:05,69335904.0
2023-04-28 11:30:00,0.463,0.464,0.464,0.462,21888100.0,10133736.0,2023,4,28,11,30,2023-04-28 11:30,21888100.0
2023-04-28 11:25:00,0.463,0.463,0.465,0.462,89613400.0,41556984.0,2023,4,28,11,25,2023-04-28 11:25,89613400.0
2023-04-28 11:20:00,0.462,0.463,0.463,0.461,29099400.0,13444707.0,2023,4,28,11,20,2023-04-28 11:20,29099400.0
2023-04-28 11:15:00,0.462,0.462,0.463,0.461,70320096.0,32514836.0,2023,4,28,11,15,2023-04-28 11:15,70320096.0
2023-04-28 11:10:00,0.46,0.461,0.462,0.46,30793500.0,14201092.0,2023,4,28,11,10,2023-04-28 11:10,30793500.0
2023-04-28 11:05:00,0.461,0.461,0.461,0.46,17541300.0,8083203.0,2023,4,28,11,5,2023-04-28 11:05,17541300.0
2023-04-28 11:00:00,0.461,0.461,0.461,0.46,8564800.0,3947117.0,2023,4,28,11,0,2023-04-28 11:00,8564800.0
2023-04-28 10:55:00,0.46,0.46,0.461,0.459,36131500.0,16619508.0,2023,4,28,10,55,2023-04-28 10:55,36131500.0
2023-04-28 10:50:00,0.46,0.46,0.46,0.459,24786500.0,11400703.0,2023,4,28,10,50,2023-04-28 10:50,24786500.0
2023-04-28 10:45:00,0.459,0.46,0.46,0.459,5062600.0,2326568.0,2023,4,28,10,45,2023-04-28 10:45,5062600.0
2023-04-28 10:40:00,0.46,0.46,0.46,0.458,48207400.0,22126712.0,2023,4,28,10,40,2023-04-28 10:40,48207400.0
2023-04-28 10:35:00,0.46,0.46,0.46,0.459,5137900.0,2363050.0,2023,4,28,10,35,2023-04-28 10:35,5137900.0
2023-04-28 10:30:00,0.459,0.459,0.46,0.458,35975900.0,16520244.0,2023,4,28,10,30,2023-04-28 10:30,35975900.0
2023-04-28 10:25:00,0.459,0.458,0.459,0.457,15838700.0,7258236.0,2023,4,28,10,25,2023-04-28 10:25,15838700.0
