datetime,open,high,low,close,volume,amount
2023-01-16 09:35,4.085,4.094,4.083,4.091,85426600,349374432.00
2023-01-16 09:40,4.092,4.102,4.091,4.101,54039400,221387552.00
2023-01-16 09:45,4.101,4.101,4.094,4.100,53291900,218350336.00
2023-01-16 09:50,4.100,4.103,4.096,4.103,43269800,177327632.00
2023-01-16 09:55,4.102,4.115,4.102,4.114,47615900,195564576.00
2023-01-16 10:00,4.114,4.119,4.112,4.114,37078200,152604352.00
2023-01-16 10:05,4.114,4.127,4.113,4.127,41725000,171838000.00
2023-01-16 10:10,4.127,4.140,4.124,4.139,86012800,355347712.00
2023-01-16 10:15,4.139,4.153,4.136,4.148,74676000,309471488.00
2023-01-16 10:20,4.148,4.152,4.141,4.141,51110400,212037568.00
2023-01-16 10:25,4.142,4.146,4.138,4.140,40267700,166804816.00
2023-01-16 10:30,4.140,4.148,4.139,4.145,42534500,176266672.00
2023-01-16 10:35,4.145,4.146,4.138,4.140,33635800,139390736.00
2023-01-16 10:40,4.140,4.149,4.140,4.149,27341500,113319152.00
2023-01-16 10:45,4.149,4.154,4.144,4.151,51159800,212306912.00
2023-01-16 10:50,4.150,4.154,4.146,4.146,33955500,140925184.00
2023-01-16 10:55,4.149,4.158,4.148,4.154,44282900,183931056.00
2023-01-16 11:00,4.155,4.167,4.155,4.164,57579700,239663104.00
2023-01-16 11:05,4.166,4.168,4.159,4.166,28107700,117067176.00
2023-01-16 11:10,4.166,4.166,4.156,4.156,23276700,96871672.00
2023-01-16 11:15,4.157,4.158,4.151,4.155,27139200,112772592.00
2023-01-16 11:20,4.155,4.160,4.155,4.159,27722100,115254600.00
2023-01-16 11:25,4.159,4.164,4.159,4.163,34903900,145269408.00
2023-01-16 11:30,4.163,4.164,4.161,4.164,16315700,67916960.00
2023-01-16 13:05,4.162,4.173,4.159,4.173,37111800,154662464.00
2023-01-16 13:10,4.173,4.174,4.168,4.173,27738800,115713392.00
2023-01-16 13:15,4.174,4.184,4.172,4.183,35904100,150036064.00
2023-01-16 13:20,4.183,4.184,4.176,4.177,49228100,205831168.00
2023-01-16 13:25,4.177,4.178,4.170,4.171,26228700,109488456.00
2023-01-16 13:30,4.170,4.171,4.158,4.164,21269100,88569208.00
2023-01-16 13:35,4.164,4.164,4.156,4.159,27728500,115344208.00
2023-01-16 13:40,4.159,4.160,4.153,4.154,29232000,121517168.00
2023-01-16 13:45,4.153,4.158,4.150,4.153,21472400,89203680.00
2023-01-16 13:50,4.153,4.154,4.149,4.149,22203700,92202344.00
2023-01-16 13:55,4.149,4.154,4.148,4.152,36357900,150908224.00
2023-01-16 14:00,4.152,4.152,4.146,4.148,27428800,113799456.00
2023-01-16 14:05,4.148,4.151,4.147,4.148,30701100,127366816.00
2023-01-16 14:10,4.148,4.150,4.145,4.149,32279400,133896296.00
2023-01-16 14:15,4.149,4.149,4.145,4.149,25183700,104438584.00
2023-01-16 14:20,4.148,4.153,4.148,4.151,41857800,173756320.00
2023-01-16 14:25,4.151,4.153,4.149,4.151,25145400,104396336.00
2023-01-16 14:30,4.151,4.152,4.146,4.149,21730300,90178520.00
2023-01-16 14:35,4.149,4.152,4.148,4.150,20628400,85611600.00
2023-01-16 14:40,4.150,4.150,4.141,4.143,27894400,115644672.00
2023-01-16 14:45,4.142,4.143,4.137,4.139,23643000,97885184.00
2023-01-16 14:50,4.139,4.139,4.134,4.135,18075900,74763632.00
2023-01-16 14:55,4.135,4.136,4.134,4.136,10860100,44905240.00
2023-01-16 15:00,4.136,4.144,4.135,4.143,14003800,57985696.00
2023-01-17 09:35,4.143,4.147,4.135,4.143,29446100,122017056.00
2023-01-17 09:40,4.143,4.148,4.141,4.146,23005400,95364896.00
2023-01-17 09:45,4.146,4.152,4.145,4.147,14781000,61308144.00
2023-01-17 09:50,4.149,4.150,4.143,4.144,14181700,58799372.00
2023-01-17 09:55,4.143,4.145,4.139,4.141,17428200,72181640.00
2023-01-17 10:00,4.140,4.141,4.133,4.134,26336600,108943640.00
2023-01-17 10:05,4.133,4.143,4.133,4.143,25007800,103525856.00
2023-01-17 10:10,4.143,4.145,4.139,4.143,15327400,63488952.00
2023-01-17 10:15,4.143,4.143,4.138,4.140,14219000,58868956.00
2023-01-17 10:20,4.139,4.140,4.136,4.136,13535700,56006784.00
2023-01-17 10:25,4.135,4.138,4.134,4.134,15259300,63121304.00
2023-01-17 10:30,4.134,4.138,4.133,4.137,18265100,75537288.00
2023-01-17 10:35,4.137,4.142,4.135,4.140,11430900,47304816.00
2023-01-17 10:40,4.140,4.140,4.137,4.138,9486400,39262916.00
2023-01-17 10:45,4.137,4.139,4.136,4.137,6526300,27000784.00
2023-01-17 10:50,4.137,4.140,4.135,4.140,17473900,72297680.00
2023-01-17 10:55,4.139,4.141,4.138,4.140,9359800,38744452.00
2023-01-17 11:00,4.140,4.142,4.138,4.141,9760900,40406400.00
2023-01-17 11:05,4.140,4.141,4.138,4.141,7608500,31495578.00
2023-01-17 11:10,4.140,4.143,4.138,4.138,12910900,53464748.00
2023-01-17 11:15,4.138,4.139,4.132,4.133,11644800,48148612.00
2023-01-17 11:20,4.133,4.136,4.132,4.135,3439500,14220501.00
2023-01-17 11:25,4.135,4.137,4.135,4.136,4252500,17586612.00
2023-01-17 11:30,4.135,4.138,4.133,4.134,7130800,29490108.00
2023-01-17 13:05,4.133,4.135,4.131,4.134,6047900,24995754.00
2023-01-17 13:10,4.134,4.135,4.132,4.134,3408100,14088507.00
2023-01-17 13:15,4.134,4.135,4.133,4.135,5851800,24189720.00
2023-01-17 13:20,4.135,4.135,4.129,4.130,7996000,33033252.00
2023-01-17 13:25,4.129,4.130,4.126,4.127,11309500,46684172.00
2023-01-17 13:30,4.128,4.128,4.123,4.124,16407800,67683560.00
2023-01-17 13:35,4.124,4.128,4.123,4.123,11574500,47745792.00
2023-01-17 13:40,4.123,4.126,4.122,4.124,13292100,54820792.00
2023-01-17 13:45,4.124,4.129,4.124,4.129,14304100,59021420.00
2023-01-17 13:50,4.129,4.129,4.124,4.127,4998700,20625112.00
2023-01-17 13:55,4.126,4.130,4.126,4.129,11032900,45542048.00
2023-01-17 14:00,4.130,4.132,4.129,4.131,8849500,36552340.00
2023-01-17 14:05,4.130,4.137,4.129,4.133,15523100,64172840.00
2023-01-17 14:10,4.134,4.139,4.133,4.135,14769200,61107628.00
2023-01-17 14:15,4.136,4.140,4.136,4.139,12428800,51427976.00
2023-01-17 14:20,4.139,4.141,4.137,4.141,7590000,31416916.00
2023-01-17 14:25,4.140,4.141,4.136,4.137,8340300,34512656.00
2023-01-17 14:30,4.138,4.139,4.133,4.134,10466800,43287744.00
2023-01-17 14:35,4.135,4.138,4.133,4.137,7874800,32565422.00
2023-01-17 14:40,4.137,4.138,4.133,4.134,14678000,60685140.00
2023-01-17 14:45,4.133,4.133,4.130,4.131,16559900,68419544.00
2023-01-17 14:50,4.131,4.135,4.130,4.134,15333100,63351216.00
2023-01-17 14:55,4.134,4.136,4.133,4.135,10031000,41473500.00
2023-01-17 15:00,4.136,4.140,4.135,4.139,15026700,62178744.00
2023-01-18 09:35,4.146,4.152,4.142,4.145,20917700,86754024.00
2023-01-18 09:40,4.146,4.147,4.137,4.139,22307200,92353176.00
2023-01-18 09:45,4.139,4.141,4.132,4.134,16564200,68491120.00
2023-01-18 09:50,4.135,4.138,4.132,4.137,10042400,41526784.00
2023-01-18 09:55,4.136,4.139,4.133,4.136,4794000,19828030.00
2023-01-18 10:00,4.136,4.138,4.135,4.137,6798700,28128776.00
2023-01-18 10:05,4.137,4.142,4.136,4.142,7226000,29915836.00
2023-01-18 10:10,4.142,4.149,4.140,4.148,9684300,40140980.00
2023-01-18 10:15,4.147,4.150,4.146,4.146,5444600,22585060.00
2023-01-18 10:20,4.146,4.149,4.139,4.140,7316000,30317104.00
2023-01-18 10:25,4.139,4.141,4.138,4.140,8009700,33152948.00
2023-01-18 10:30,4.141,4.141,4.134,4.136,8179400,33837936.00
2023-01-18 10:35,4.136,4.137,4.133,4.134,7987100,33023926.00
2023-01-18 10:40,4.133,4.133,4.128,4.130,8625700,35629016.00
2023-01-18 10:45,4.130,4.135,4.129,4.134,12001800,49593280.00
2023-01-18 10:50,4.134,4.137,4.134,4.137,4521300,18698308.00
2023-01-18 10:55,4.137,4.138,4.134,4.135,21574600,89226472.00
2023-01-18 11:00,4.135,4.138,4.134,4.135,3435600,14208484.00
2023-01-18 11:05,4.137,4.138,4.134,4.136,9596100,39692960.00
2023-01-18 11:10,4.135,4.136,4.132,4.134,6016800,24872612.00
2023-01-18 11:15,4.134,4.135,4.131,4.132,8867600,36646664.00
2023-01-18 11:20,4.133,4.137,4.133,4.133,9593300,39667148.00
2023-01-18 11:25,4.132,4.133,4.128,4.129,11184700,46198064.00
2023-01-18 11:30,4.128,4.130,4.126,4.130,4342000,17924056.00
2023-01-18 13:05,4.130,4.137,4.130,4.137,9810600,40550488.00
2023-01-18 13:10,4.138,4.139,4.135,4.138,6053500,25043402.00
2023-01-18 13:15,4.137,4.139,4.135,4.138,4980200,20603826.00
2023-01-18 13:20,4.137,4.138,4.136,4.136,2571100,10636251.00
2023-01-18 13:25,4.137,4.139,4.136,4.137,5790900,23960814.00
2023-01-18 13:30,4.137,4.137,4.133,4.135,5781400,23906548.00
2023-01-18 13:35,4.134,4.137,4.133,4.134,7068500,29228914.00
2023-01-18 13:40,4.134,4.136,4.131,4.132,3748700,15493188.00
2023-01-18 13:45,4.132,4.135,4.132,4.135,1421200,5873856.00
2023-01-18 13:50,4.135,4.137,4.133,4.135,4048100,16740965.00
2023-01-18 13:55,4.136,4.138,4.135,4.138,3214000,13296133.00
2023-01-18 14:00,4.138,4.139,4.136,4.137,11273900,46642172.00
2023-01-18 14:05,4.138,4.138,4.136,4.136,7256300,30020076.00
2023-01-18 14:10,4.137,4.145,4.136,4.144,11872500,49163760.00
2023-01-18 14:15,4.144,4.144,4.138,4.139,5651800,23402452.00
2023-01-18 14:20,4.139,4.140,4.131,4.131,17200000,71116360.00
2023-01-18 14:25,4.132,4.136,4.131,4.133,9299500,38435060.00
2023-01-18 14:30,4.134,4.136,4.133,4.134,12639400,52253188.00
2023-01-18 14:35,4.135,4.138,4.134,4.136,13326700,55116348.00
2023-01-18 14:40,4.136,4.137,4.132,4.132,12033100,49746812.00
2023-01-18 14:45,4.132,4.133,4.130,4.132,18817600,77746624.00
2023-01-18 14:50,4.131,4.133,4.128,4.129,11097400,45838536.00
2023-01-18 14:55,4.129,4.133,4.129,4.131,15177400,62701632.00
2023-01-18 15:00,4.131,4.132,4.129,4.130,10525500,43475964.00
2023-01-19 09:35,4.121,4.127,4.115,4.125,19692300,81147256.00
2023-01-19 09:40,4.125,4.126,4.116,4.117,11855500,48840336.00
2023-01-19 09:45,4.116,4.116,4.112,4.116,11669400,48009428.00
2023-01-19 09:50,4.116,4.118,4.113,4.117,10196700,41973128.00
2023-01-19 09:55,4.116,4.117,4.109,4.111,17164800,70581312.00
2023-01-19 10:00,4.111,4.111,4.103,4.108,15700800,64467244.00
2023-01-19 10:05,4.109,4.114,4.107,4.113,7368500,30297216.00
2023-01-19 10:10,4.112,4.114,4.109,4.113,9079600,37320892.00
2023-01-19 10:15,4.113,4.119,4.110,4.117,6331800,26052316.00
2023-01-19 10:20,4.118,4.122,4.118,4.121,9796700,40366020.00
2023-01-19 10:25,4.121,4.123,4.118,4.119,8090700,33345588.00
2023-01-19 10:30,4.120,4.121,4.117,4.117,10566600,43526320.00
2023-01-19 10:35,4.117,4.123,4.117,4.120,6566100,27050574.00
2023-01-19 10:40,4.120,4.121,4.116,4.118,4905700,20203492.00
2023-01-19 10:45,4.118,4.126,4.117,4.125,5028100,20728304.00
2023-01-19 10:50,4.126,4.129,4.125,4.125,8984300,37074988.00
2023-01-19 10:55,4.125,4.128,4.125,4.126,20727700,85540608.00
2023-01-19 11:00,4.126,4.131,4.126,4.130,7111600,29361088.00
2023-01-19 11:05,4.130,4.139,4.129,4.133,10337400,42730924.00
2023-01-19 11:10,4.133,4.140,4.132,4.139,7684800,31775504.00
2023-01-19 11:15,4.139,4.146,4.138,4.143,13297800,55078464.00
2023-01-19 11:20,4.144,4.144,4.135,4.136,9679100,40056304.00
2023-01-19 11:25,4.136,4.141,4.136,4.136,6005600,24850956.00
2023-01-19 11:30,4.136,4.138,4.135,4.137,4854000,20078556.00
2023-01-19 13:05,4.137,4.145,4.137,4.143,14081100,58297528.00
2023-01-19 13:10,4.143,4.149,4.143,4.148,14194700,58856252.00
2023-01-19 13:15,4.148,4.150,4.144,4.145,12342400,51178212.00
2023-01-19 13:20,4.145,4.147,4.141,4.146,8534000,35367256.00
2023-01-19 13:25,4.146,4.150,4.145,4.146,10766100,44650992.00
2023-01-19 13:30,4.146,4.146,4.140,4.143,9888500,40963964.00
2023-01-19 13:35,4.142,4.144,4.140,4.142,9860400,40838588.00
2023-01-19 13:40,4.143,4.143,4.136,4.137,11190100,46309172.00
2023-01-19 13:45,4.137,4.139,4.134,4.139,9469600,39172096.00
2023-01-19 13:50,4.139,4.140,4.136,4.140,13636000,56432636.00
2023-01-19 13:55,4.139,4.143,4.139,4.142,12173400,50407976.00
2023-01-19 14:00,4.142,4.148,4.141,4.147,10670700,44224192.00
2023-01-19 14:05,4.147,4.148,4.139,4.139,10881900,45076088.00
2023-01-19 14:10,4.139,4.148,4.139,4.147,9781400,40512928.00
2023-01-19 14:15,4.147,4.151,4.145,4.147,13023000,54017488.00
2023-01-19 14:20,4.147,4.148,4.139,4.139,12214300,50592164.00
2023-01-19 14:25,4.139,4.142,4.138,4.141,14585700,60381448.00
2023-01-19 14:30,4.142,4.144,4.141,4.143,16033400,66416716.00
2023-01-19 14:35,4.144,4.154,4.143,4.153,22262100,92385784.00
2023-01-19 14:40,4.154,4.155,4.150,4.150,20218300,83943944.00
2023-01-19 14:45,4.151,4.155,4.148,4.154,30751000,127687232.00
2023-01-19 14:50,4.155,4.156,4.152,4.155,24937000,103594216.00
2023-01-19 14:55,4.156,4.156,4.154,4.156,19086200,79302720.00
2023-01-19 15:00,4.157,4.160,4.156,4.158,34155500,142000320.00
