,year,month,day,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,panqianliutong,panhouliutong,qianzongguben,houzongguben,fenshu,xingquanjia
0,2007,1,12,11,扩缩股,,,,,0.6552779674530029,,,,,,
1,2009,3,24,1,除权除息,0.23999999463558197,0.0,0.0,0.0,,,,,,,
2,2009,10,22,1,除权除息,0.23000000417232513,0.0,0.0,0.0,,,,,,,
3,2010,7,15,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,
4,2010,10,22,1,除权除息,0.20999999344348907,0.0,0.0,0.0,,,,,,,
5,2011,10,24,1,除权除息,0.3499999940395355,0.0,0.0,0.0,,,,,,,
6,2012,12,18,1,除权除息,0.4099999964237213,0.0,0.0,0.0,,,,,,,
7,2014,1,21,1,除权除息,0.5899999737739563,0.0,0.0,0.0,,,,,,,
8,2015,1,20,1,除权除息,0.800000011920929,0.0,0.0,0.0,,,,,,,
9,2016,1,20,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,
10,2017,1,23,1,除权除息,0.9100000262260437,0.0,0.0,0.0,,,,,,,
11,2018,1,23,1,除权除息,1.090000033378601,0.0,0.0,0.0,,,,,,,
12,2019,1,16,1,除权除息,0.9800000190734863,0.0,0.0,0.0,,,,,,,
13,2020,1,17,1,除权除息,1.440000057220459,0.0,0.0,0.0,,,,,,,
14,2021,1,18,1,除权除息,1.409999966621399,0.0,0.0,0.0,,,,,,,
15,2022,1,17,1,除权除息,0.8600000143051147,0.0,0.0,0.0,,,,,,,
16,2023,1,16,1,除权除息,1.3799999952316284,0.0,0.0,0.0,,,,,,,
