datetime,open,high,low,close,volume,amount
2021-04-14 09:35,1.026,1.029,1.024,1.027,151000,155106.00
2021-04-14 09:40,1.026,1.032,1.026,1.028,565100,581256.00
2021-04-14 09:45,1.028,1.034,1.028,1.033,168900,174300.00
2021-04-14 09:50,1.033,1.034,1.031,1.031,127400,131513.00
2021-04-14 09:55,1.031,1.032,1.031,1.031,490800,506461.00
2021-04-14 10:00,1.030,1.030,1.030,1.030,33200,34196.00
2021-04-14 10:05,1.030,1.031,1.030,1.031,31300,32245.00
2021-04-14 10:10,1.031,1.031,1.030,1.031,55300,57010.00
2021-04-14 10:15,1.030,1.030,1.027,1.027,347100,356855.00
2021-04-14 10:20,1.026,1.026,1.024,1.025,346800,355316.00
2021-04-14 10:25,1.026,1.029,1.026,1.028,484900,498227.00
2021-04-14 10:30,1.027,1.028,1.027,1.028,25300,25988.00
2021-04-14 10:35,1.027,1.028,1.027,1.028,74300,76339.00
2021-04-14 10:40,1.028,1.031,1.028,1.030,359600,370229.00
2021-04-14 10:45,1.030,1.030,1.028,1.028,87000,89441.00
2021-04-14 10:50,1.028,1.028,1.025,1.025,920000,943340.00
2021-04-14 10:55,1.025,1.025,1.022,1.022,540500,553913.00
2021-04-14 11:00,1.021,1.023,1.020,1.023,696400,712245.00
2021-04-14 11:05,1.024,1.024,1.020,1.020,487000,497680.00
2021-04-14 11:10,1.020,1.021,1.019,1.020,470100,479173.00
2021-04-14 11:15,1.020,1.020,1.020,1.020,38800,39576.00
2021-04-14 11:20,1.021,1.024,1.021,1.024,1288000,1315621.00
2021-04-14 11:25,1.024,1.025,1.024,1.025,88600,90738.00
2021-04-14 11:30,1.025,1.025,1.024,1.024,94200,96492.00
2021-04-14 13:05,1.025,1.027,1.024,1.025,1370400,1405885.00
2021-04-14 13:10,1.025,1.027,1.025,1.027,646600,663657.00
2021-04-14 13:15,1.028,1.029,1.028,1.029,167200,171937.00
2021-04-14 13:20,1.029,1.029,1.029,1.029,0,0.00
2021-04-14 13:25,1.028,1.029,1.028,1.029,153500,157931.00
2021-04-14 13:30,1.029,1.030,1.029,1.029,163100,167835.00
2021-04-14 13:35,1.029,1.029,1.029,1.029,500,514.00
2021-04-14 13:40,1.029,1.029,1.029,1.029,23100,23770.00
2021-04-14 13:45,1.029,1.030,1.029,1.030,23800,24493.00
2021-04-14 13:50,1.030,1.030,1.030,1.030,10000,10300.00
2021-04-14 13:55,1.030,1.030,1.030,1.030,19200,19776.00
2021-04-14 14:00,1.029,1.029,1.029,1.029,14000,14406.00
2021-04-14 14:05,1.029,1.030,1.029,1.030,221500,228145.00
2021-04-14 14:10,1.030,1.031,1.030,1.031,10700,11032.00
2021-04-14 14:15,1.031,1.031,1.031,1.031,124000,127844.00
2021-04-14 14:20,1.031,1.032,1.031,1.032,347700,358555.00
2021-04-14 14:25,1.032,1.032,1.030,1.030,658300,679050.00
2021-04-14 14:30,1.030,1.030,1.029,1.029,32600,33563.00
2021-04-14 14:35,1.029,1.030,1.029,1.030,118100,121643.00
2021-04-14 14:40,1.030,1.030,1.029,1.029,14100,14508.00
2021-04-14 14:45,1.029,1.029,1.029,1.029,335000,344715.00
2021-04-14 14:50,1.029,1.030,1.029,1.030,360700,371521.00
2021-04-14 14:55,1.030,1.031,1.030,1.030,155900,160658.00
2021-04-14 15:00,1.030,1.031,1.030,1.031,94800,97688.00
2021-04-15 09:35,1.029,1.034,1.029,1.030,188500,194206.00
2021-04-15 09:40,1.031,1.036,1.031,1.034,256600,265441.00
2021-04-15 09:45,1.032,1.033,1.030,1.030,365800,377294.00
2021-04-15 09:50,1.029,1.029,1.024,1.026,946900,971627.00
2021-04-15 09:55,1.027,1.028,1.027,1.028,126900,130452.00
2021-04-15 10:00,1.029,1.029,1.029,1.029,100,103.00
2021-04-15 10:05,1.029,1.029,1.027,1.027,57000,58562.00
2021-04-15 10:10,1.027,1.027,1.021,1.023,568500,581449.00
2021-04-15 10:15,1.023,1.024,1.022,1.024,47600,48705.00
2021-04-15 10:20,1.023,1.024,1.023,1.023,88200,90247.00
2021-04-15 10:25,1.022,1.023,1.022,1.023,16500,16878.00
2021-04-15 10:30,1.022,1.022,1.022,1.022,100,102.00
2021-04-15 10:35,1.022,1.022,1.021,1.022,386800,395066.00
2021-04-15 10:40,1.022,1.022,1.022,1.022,161700,165258.00
2021-04-15 10:45,1.021,1.021,1.021,1.021,24600,25116.00
2021-04-15 10:50,1.020,1.020,1.018,1.019,405200,413005.00
2021-04-15 10:55,1.019,1.019,1.019,1.019,21100,21501.00
2021-04-15 11:00,1.019,1.019,1.018,1.018,75400,76763.00
2021-04-15 11:05,1.018,1.018,1.018,1.018,4200,4275.00
2021-04-15 11:10,1.018,1.018,1.018,1.018,11900,12114.00
2021-04-15 11:15,1.018,1.018,1.016,1.017,111200,113107.00
2021-04-15 11:20,1.016,1.016,1.014,1.014,346200,351521.00
2021-04-15 11:25,1.014,1.016,1.014,1.016,22300,22657.00
2021-04-15 11:30,1.016,1.016,1.015,1.016,62900,63896.00
2021-04-15 13:05,1.015,1.019,1.015,1.018,371500,377808.00
2021-04-15 13:10,1.018,1.020,1.018,1.019,773500,787587.00
2021-04-15 13:15,1.019,1.020,1.019,1.019,54600,55660.00
2021-04-15 13:20,1.019,1.019,1.018,1.018,363100,369696.00
2021-04-15 13:25,1.018,1.018,1.017,1.017,591800,602124.00
2021-04-15 13:30,1.017,1.017,1.017,1.017,140900,143295.00
2021-04-15 13:35,1.017,1.017,1.017,1.017,900,915.00
2021-04-15 13:40,1.018,1.019,1.018,1.019,421200,429092.00
2021-04-15 13:45,1.019,1.019,1.019,1.019,13900,14164.00
2021-04-15 13:50,1.020,1.022,1.020,1.022,66600,68010.00
2021-04-15 13:55,1.022,1.023,1.022,1.023,62100,63508.00
2021-04-15 14:00,1.023,1.024,1.022,1.022,413300,422488.00
2021-04-15 14:05,1.022,1.022,1.021,1.021,29800,30427.00
2021-04-15 14:10,1.021,1.021,1.020,1.021,372600,380402.00
2021-04-15 14:15,1.021,1.022,1.021,1.021,53700,54828.00
2021-04-15 14:20,1.021,1.023,1.021,1.023,44100,45110.00
2021-04-15 14:25,1.022,1.024,1.022,1.023,15000,15336.00
2021-04-15 14:30,1.023,1.024,1.023,1.023,12500,12798.00
2021-04-15 14:35,1.023,1.023,1.022,1.022,410400,419785.00
2021-04-15 14:40,1.022,1.023,1.022,1.023,22600,23120.00
2021-04-15 14:45,1.023,1.023,1.022,1.022,16500,16873.00
2021-04-15 14:50,1.022,1.023,1.022,1.022,19100,19520.00
2021-04-15 14:55,1.022,1.022,1.022,1.022,339400,346867.00
2021-04-15 15:00,1.022,1.023,1.022,1.023,159800,163369.00
2021-04-16 09:35,1.032,1.032,1.025,1.026,477400,490110.00
2021-04-16 09:40,1.026,1.031,1.026,1.031,689500,709300.00
2021-04-16 09:45,1.032,1.035,1.030,1.030,763500,787906.00
2021-04-16 09:50,1.030,1.030,1.026,1.028,920200,945056.00
2021-04-16 09:55,1.028,1.031,1.028,1.029,718800,740296.00
2021-04-16 10:00,1.029,1.030,1.029,1.030,515800,531214.00
2021-04-16 10:05,1.029,1.029,1.023,1.024,1339800,1375451.00
2021-04-16 10:10,1.023,1.023,1.019,1.021,682600,696446.00
2021-04-16 10:15,1.021,1.021,1.020,1.021,487000,496969.00
2021-04-16 10:20,1.022,1.024,1.022,1.024,458300,468610.00
2021-04-16 10:25,1.024,1.025,1.023,1.025,387500,396462.00
2021-04-16 10:30,1.024,1.025,1.024,1.024,490100,501865.00
2021-04-16 10:35,1.024,1.024,1.022,1.022,194600,199074.00
2021-04-16 10:40,1.022,1.022,1.022,1.022,117500,120085.00
2021-04-16 10:45,1.022,1.022,1.021,1.021,200,204.00
