datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
2022-12-16 09:31:00,2.926,2.928,2.928,2.92,1900300.0,5556335.0,2022,12,16,9,31,2022-12-16 09:31,1900300.0
2022-12-16 09:32:00,2.927,2.927,2.93,2.926,515600.0,1509439.0,2022,12,16,9,32,2022-12-16 09:32,515600.0
2022-12-16 09:33:00,2.925,2.928,2.929,2.925,243800.0,713409.0,2022,12,16,9,33,2022-12-16 09:33,243800.0
2022-12-16 09:34:00,2.929,2.926,2.929,2.926,371400.0,1086597.0,2022,12,16,9,34,2022-12-16 09:34,371400.0
2022-12-16 09:35:00,2.926,2.929,2.929,2.926,368800.0,1079791.0,2022,12,16,9,35,2022-12-16 09:35,368800.0
2022-12-16 09:36:00,2.929,2.929,2.929,2.928,159900.0,468319.0,2022,12,16,9,36,2022-12-16 09:36,159900.0
2022-12-16 09:37:00,2.929,2.929,2.932,2.929,587800.0,1722610.0,2022,12,16,9,37,2022-12-16 09:37,587800.0
2022-12-16 09:38:00,2.932,2.933,2.934,2.93,301500.0,884352.0,2022,12,16,9,38,2022-12-16 09:38,301500.0
2022-12-16 09:39:00,2.934,2.934,2.935,2.933,362000.0,1062094.0,2022,12,16,9,39,2022-12-16 09:39,362000.0
2022-12-16 09:40:00,2.935,2.938,2.939,2.935,255700.0,750938.0,2022,12,16,9,40,2022-12-16 09:40,255700.0
2022-12-16 09:41:00,2.938,2.939,2.941,2.937,622500.0,1829552.0,2022,12,16,9,41,2022-12-16 09:41,622500.0
2022-12-16 09:42:00,2.94,2.939,2.94,2.938,250700.0,736926.0,2022,12,16,9,42,2022-12-16 09:42,250700.0
2022-12-16 09:43:00,2.939,2.938,2.939,2.938,183000.0,537714.0,2022,12,16,9,43,2022-12-16 09:43,183000.0
2022-12-16 09:44:00,2.938,2.937,2.94,2.935,748000.0,2196893.0,2022,12,16,9,44,2022-12-16 09:44,748000.0
2022-12-16 09:45:00,2.937,2.937,2.937,2.935,527000.0,1547688.0,2022,12,16,9,45,2022-12-16 09:45,527000.0
2022-12-16 09:46:00,2.937,2.936,2.937,2.934,294700.0,865057.0,2022,12,16,9,46,2022-12-16 09:46,294700.0
2022-12-16 09:47:00,2.936,2.938,2.938,2.936,456700.0,1341338.0,2022,12,16,9,47,2022-12-16 09:47,456700.0
2022-12-16 09:48:00,2.938,2.939,2.939,2.938,557700.0,1638647.0,2022,12,16,9,48,2022-12-16 09:48,557700.0
2022-12-16 09:49:00,2.939,2.937,2.939,2.937,200600.0,589411.0,2022,12,16,9,49,2022-12-16 09:49,200600.0
2022-12-16 09:50:00,2.937,2.936,2.939,2.936,246400.0,723882.0,2022,12,16,9,50,2022-12-16 09:50,246400.0
2022-12-16 09:51:00,2.939,2.941,2.942,2.939,510200.0,1500227.0,2022,12,16,9,51,2022-12-16 09:51,510200.0
2022-12-16 09:52:00,2.942,2.941,2.942,2.94,182000.0,535289.0,2022,12,16,9,52,2022-12-16 09:52,182000.0
2022-12-16 09:53:00,2.942,2.942,2.942,2.941,483700.0,1423025.0,2022,12,16,9,53,2022-12-16 09:53,483700.0
2022-12-16 09:54:00,2.941,2.941,2.942,2.941,92700.0,272659.0,2022,12,16,9,54,2022-12-16 09:54,92700.0
2022-12-16 09:55:00,2.942,2.94,2.942,2.94,69000.0,202950.0,2022,12,16,9,55,2022-12-16 09:55,69000.0
2022-12-16 09:56:00,2.94,2.941,2.942,2.94,50600.0,148820.0,2022,12,16,9,56,2022-12-16 09:56,50600.0
2022-12-16 09:57:00,2.941,2.94,2.942,2.94,48900.0,143819.0,2022,12,16,9,57,2022-12-16 09:57,48900.0
2022-12-16 09:58:00,2.941,2.942,2.943,2.94,489000.0,1438550.0,2022,12,16,9,58,2022-12-16 09:58,489000.0
2022-12-16 09:59:00,2.942,2.939,2.942,2.939,205500.0,604255.0,2022,12,16,9,59,2022-12-16 09:59,205500.0
2022-12-16 10:00:00,2.938,2.938,2.94,2.938,111700.0,328282.0,2022,12,16,10,0,2022-12-16 10:00,111700.0
2022-12-16 10:01:00,2.938,2.941,2.941,2.938,565000.0,1660850.0,2022,12,16,10,1,2022-12-16 10:01,565000.0
2022-12-16 10:02:00,2.942,2.945,2.945,2.94,647600.0,1906096.0,2022,12,16,10,2,2022-12-16 10:02,647600.0
2022-12-16 10:03:00,2.945,2.944,2.945,2.943,211900.0,623850.0,2022,12,16,10,3,2022-12-16 10:03,211900.0
2022-12-16 10:04:00,2.945,2.946,2.947,2.944,470600.0,1386143.0,2022,12,16,10,4,2022-12-16 10:04,470600.0
2022-12-16 10:05:00,2.947,2.945,2.947,2.945,61700.0,181771.0,2022,12,16,10,5,2022-12-16 10:05,61700.0
2022-12-16 10:06:00,2.945,2.947,2.947,2.945,208100.0,613031.0,2022,12,16,10,6,2022-12-16 10:06,208100.0
2022-12-16 10:07:00,2.947,2.948,2.949,2.947,197600.0,582484.0,2022,12,16,10,7,2022-12-16 10:07,197600.0
2022-12-16 10:08:00,2.949,2.949,2.949,2.947,168000.0,495371.0,2022,12,16,10,8,2022-12-16 10:08,168000.0
2022-12-16 10:09:00,2.948,2.949,2.949,2.947,790600.0,2330079.0,2022,12,16,10,9,2022-12-16 10:09,790600.0
2022-12-16 10:10:00,2.948,2.95,2.951,2.948,442200.0,1304336.0,2022,12,16,10,10,2022-12-16 10:10,442200.0
2022-12-16 10:11:00,2.95,2.952,2.952,2.95,1292500.0,3815125.0,2022,12,16,10,11,2022-12-16 10:11,1292500.0
2022-12-16 10:12:00,2.952,2.95,2.952,2.95,72500.0,213998.0,2022,12,16,10,12,2022-12-16 10:12,72500.0
2022-12-16 10:13:00,2.951,2.951,2.952,2.95,44700.0,131894.0,2022,12,16,10,13,2022-12-16 10:13,44700.0
2022-12-16 10:14:00,2.95,2.949,2.951,2.949,628100.0,1852882.0,2022,12,16,10,14,2022-12-16 10:14,628100.0
2022-12-16 10:15:00,2.949,2.949,2.95,2.949,282100.0,832132.0,2022,12,16,10,15,2022-12-16 10:15,282100.0
2022-12-16 10:16:00,2.951,2.954,2.954,2.951,1459500.0,4308770.0,2022,12,16,10,16,2022-12-16 10:16,1459500.0
2022-12-16 10:17:00,2.954,2.951,2.955,2.951,1130600.0,3339763.0,2022,12,16,10,17,2022-12-16 10:17,1130600.0
2022-12-16 10:18:00,2.952,2.952,2.954,2.951,115200.0,340123.0,2022,12,16,10,18,2022-12-16 10:18,115200.0
2022-12-16 10:19:00,2.954,2.952,2.954,2.952,111500.0,329322.0,2022,12,16,10,19,2022-12-16 10:19,111500.0
2022-12-16 10:20:00,2.953,2.954,2.955,2.952,252400.0,745500.0,2022,12,16,10,20,2022-12-16 10:20,252400.0
2022-12-16 10:21:00,2.954,2.958,2.958,2.954,556800.0,1645707.0,2022,12,16,10,21,2022-12-16 10:21,556800.0
2022-12-16 10:22:00,2.957,2.96,2.961,2.957,1244100.0,3682772.0,2022,12,16,10,22,2022-12-16 10:22,1244100.0
2022-12-16 10:23:00,2.959,2.96,2.961,2.959,153400.0,454078.0,2022,12,16,10,23,2022-12-16 10:23,153400.0
2022-12-16 10:24:00,2.96,2.957,2.96,2.955,195600.0,578400.0,2022,12,16,10,24,2022-12-16 10:24,195600.0
2022-12-16 10:25:00,2.957,2.957,2.957,2.956,217000.0,641646.0,2022,12,16,10,25,2022-12-16 10:25,217000.0
2022-12-16 10:26:00,2.958,2.959,2.959,2.957,371100.0,1097671.0,2022,12,16,10,26,2022-12-16 10:26,371100.0
2022-12-16 10:27:00,2.959,2.959,2.959,2.958,173200.0,512494.0,2022,12,16,10,27,2022-12-16 10:27,173200.0
2022-12-16 10:28:00,2.958,2.959,2.959,2.958,284700.0,842372.0,2022,12,16,10,28,2022-12-16 10:28,284700.0
2022-12-16 10:29:00,2.958,2.961,2.961,2.958,823400.0,2437371.0,2022,12,16,10,29,2022-12-16 10:29,823400.0
2022-12-16 10:30:00,2.961,2.962,2.963,2.961,464000.0,1374316.0,2022,12,16,10,30,2022-12-16 10:30,464000.0
2022-12-16 10:31:00,2.963,2.965,2.966,2.963,445100.0,1319577.0,2022,12,16,10,31,2022-12-16 10:31,445100.0
2022-12-16 10:32:00,2.965,2.965,2.966,2.965,352800.0,1046112.0,2022,12,16,10,32,2022-12-16 10:32,352800.0
2022-12-16 10:33:00,2.965,2.964,2.965,2.963,215200.0,637753.0,2022,12,16,10,33,2022-12-16 10:33,215200.0
2022-12-16 10:34:00,2.963,2.964,2.965,2.963,86500.0,256376.0,2022,12,16,10,34,2022-12-16 10:34,86500.0
2022-12-16 10:35:00,2.964,2.964,2.965,2.964,130300.0,386210.0,2022,12,16,10,35,2022-12-16 10:35,130300.0
2022-12-16 10:36:00,2.965,2.963,2.965,2.963,69800.0,206866.0,2022,12,16,10,36,2022-12-16 10:36,69800.0
2022-12-16 10:37:00,2.965,2.964,2.965,2.963,53100.0,157406.0,2022,12,16,10,37,2022-12-16 10:37,53100.0
2022-12-16 10:38:00,2.964,2.963,2.965,2.962,95400.0,282783.0,2022,12,16,10,38,2022-12-16 10:38,95400.0
2022-12-16 10:39:00,2.962,2.964,2.964,2.962,109800.0,325389.0,2022,12,16,10,39,2022-12-16 10:39,109800.0
2022-12-16 10:40:00,2.963,2.966,2.967,2.963,875700.0,2596871.0,2022,12,16,10,40,2022-12-16 10:40,875700.0
2022-12-16 10:41:00,2.967,2.967,2.968,2.966,271500.0,805507.0,2022,12,16,10,41,2022-12-16 10:41,271500.0
2022-12-16 10:42:00,2.967,2.967,2.968,2.966,200500.0,594779.0,2022,12,16,10,42,2022-12-16 10:42,200500.0
2022-12-16 10:43:00,2.966,2.966,2.967,2.964,81500.0,241653.0,2022,12,16,10,43,2022-12-16 10:43,81500.0
2022-12-16 10:44:00,2.965,2.964,2.966,2.963,1241000.0,3677708.0,2022,12,16,10,44,2022-12-16 10:44,1241000.0
2022-12-16 10:45:00,2.964,2.963,2.964,2.963,3011000.0,8923400.0,2022,12,16,10,45,2022-12-16 10:45,3011000.0
2022-12-16 10:46:00,2.963,2.962,2.964,2.962,3184500.0,9434010.0,2022,12,16,10,46,2022-12-16 10:46,3184500.0
2022-12-16 10:47:00,2.962,2.962,2.964,2.961,2942200.0,8715595.0,2022,12,16,10,47,2022-12-16 10:47,2942200.0
2022-12-16 10:48:00,2.963,2.961,2.963,2.961,632200.0,1872173.0,2022,12,16,10,48,2022-12-16 10:48,632200.0
2022-12-16 10:49:00,2.961,2.96,2.962,2.96,116800.0,345835.0,2022,12,16,10,49,2022-12-16 10:49,116800.0
2022-12-16 10:50:00,2.962,2.963,2.964,2.962,303400.0,898574.0,2022,12,16,10,50,2022-12-16 10:50,303400.0
2022-12-16 10:51:00,2.963,2.962,2.963,2.962,73400.0,217432.0,2022,12,16,10,51,2022-12-16 10:51,73400.0
2022-12-16 10:52:00,2.962,2.963,2.963,2.961,106700.0,316056.0,2022,12,16,10,52,2022-12-16 10:52,106700.0
