,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
0,sh000001,上证指数,3222.3536,-9.052,-0.28,3231.4055,3225.3049,3226.4499,3210.7135,192578877,249067304261
1,sh000002,Ａ股指数,3377.8215,-9.471,-0.28,3387.2925,3380.8823,3382.1272,3365.5757,192376585,248749454679
2,sh000003,Ｂ股指数,271.15,-3.262,-1.189,274.412,274.5071,274.6784,270.8432,137009,71887337
3,sh000004,工业指数,2894.8003,5.122,0.177,2889.6784,2885.5181,2894.9256,2876.4858,105043066,169102154529
4,sh000005,商业指数,2624.0501,-11.919,-0.452,2635.9689,2630.0469,2630.0469,2607.8088,17581170,18489643680
5,sh000006,地产指数,5810.1571,-34.976,-0.598,5845.1328,5840.7137,5856.6468,5788.584,3499906,2373261451
6,sh000007,公用指数,4619.6942,-20.167,-0.435,4639.8607,4627.703,4628.7141,4601.0292,17976337,11582105920
7,sh000008,综合指数,2750.0143,-32.846,-1.18,2782.86,2775.5164,2775.5164,2748.3021,48478398,47520138680
8,sh000009,上证380,5621.1859,4.742,0.084,5616.4444,5611.4199,5631.3657,5587.6385,29591540,43034536629
9,sh000010,上证180,8201.013,-36.517,-0.443,8237.53,8217.0917,8217.0917,8176.0007,54980505,81904632048
10,sh000011,基金指数,6497.9259,-10.613,-0.163,6508.5384,6503.4275,6503.4275,6486.5505,210141686,40299025781
11,sh000012,国债指数,202.1762,0.099,0.049,202.0774,202.1271,202.1805,202.1267,15851968,15949322852
12,sh000015,红利指数,2972.0494,-26.935,-0.898,2998.9842,2993.0642,2993.2792,2966.4308,17131016,10980208204
13,sh000016,上证50,2532.8423,-11.089,-0.436,2543.9316,2536.3759,2537.5868,2524.3125,21946104,31832359595
14,sh000017,新综指,2722.7767,-7.609,-0.279,2730.3855,2725.2194,2726.2128,2712.8915,183160559,233630725214
15,sh000018,180金融,4488.907,-49.538,-1.092,4538.445,4534.0099,4534.0099,4488.5675,16843510,14398809819
16,sh000019,治理指数,1041.4847,-4.957,-0.474,1046.442,1044.7188,1045.2197,1039.143,46705297,51517713985
17,sh000020,中型综指,1300.2218,6.15,0.475,1294.0722,1293.4868,1300.2524,1288.2855,27782000,55950055394
18,sh000021,180治理,913.5665,-4.935,-0.537,918.5016,916.9642,917.3231,911.7897,32440315,36774310669
19,sh000022,沪公司债,229.9374,0.079,0.035,229.8579,229.9359,229.9407,229.9271,49257,43375568
20,sh000025,180基建,1860.4215,-31.744,-1.678,1892.1656,1878.0964,1878.0964,1854.4466,13214881,9663181796
21,sh000026,180资源,3328.2968,-32.445,-0.965,3360.7423,3345.1015,3361.1501,3320.4425,5290735,6028653897
22,sh000027,180运输,745.9382,6.69,0.905,739.2478,739.4152,749.3177,735.4583,1488503,1501953844
23,sh000028,180成长,3449.6374,4.15,0.12,3445.4873,3431.513,3449.9192,3414.8505,8496221,26979588850
24,sh000029,180价值,3687.8234,-37.328,-1.002,3725.1517,3714.6983,3717.8668,3684.024,31331388,27512270864
25,sh000030,180R成长,2163.3463,-0.301,-0.014,2163.6473,2156.3485,2163.3782,2146.7066,25986610,57391130963
