,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,code,if_trade,category,fenhong,peigu,peigujia,songzhuangu,preclose
0,3.21,3.068,3.216,3.04,819112.0,254684032.0,2021,2,24,15,0,2021-02-24 15:00,512010,1,0,0,0,0,0,
1,3.078,3.076,3.12,3.057,485178.0,149713440.0,2021,2,25,15,0,2021-02-25 15:00,512010,1,0,0,0,0,0,3.068
2,3.02,3.027,3.083,2.971,519279.0,157341024.0,2021,2,26,15,0,2021-02-26 15:00,512010,1,0,0,0,0,0,3.076
3,3.055,3.071,3.072,2.997,408097.0,124293320.0,2021,3,1,15,0,2021-03-01 15:00,512010,1,0,0,0,0,0,3.027
4,3.087,2.99,3.089,2.962,576495.0,173798624.0,2021,3,2,15,0,2021-03-02 15:00,512010,1,0,0,0,0,0,3.071
5,2.98,3.053,3.055,2.962,382708.0,115500400.0,2021,3,3,15,0,2021-03-03 15:00,512010,1,0,0,0,0,0,2.99
6,3.01,2.935,3.02,2.916,474779.0,140470032.0,2021,3,4,15,0,2021-03-04 15:00,512010,1,0,0,0,0,0,3.053
7,2.86,2.936,2.958,2.86,367375.0,107110880.0,2021,3,5,15,0,2021-03-05 15:00,512010,1,0,0,0,0,0,2.935
8,2.95,2.743,2.967,2.74,769169.0,218548192.0,2021,3,8,15,0,2021-03-08 15:00,512010,1,0,0,0,0,0,2.936
9,2.739,2.673,2.773,2.63,672939.0,182612400.0,2021,3,9,15,0,2021-03-09 15:00,512010,1,0,0,0,0,0,2.743
10,2.72,2.744,2.776,2.711,613837.0,168392240.0,2021,3,10,15,0,2021-03-10 15:00,512010,1,0,0,0,0,0,2.673
11,2.738,2.817,2.855,2.738,682141.0,191757856.0,2021,3,11,15,0,2021-03-11 15:00,512010,1,0,0,0,0,0,2.744
12,2.828,2.82,2.834,2.771,336252.0,94393200.0,2021,3,12,15,0,2021-03-12 15:00,512010,1,0,0,0,0,0,2.817
13,2.81,2.707,2.81,2.669,400866.0,109372344.0,2021,3,15,15,0,2021-03-15 15:00,512010,1,0,0,0,0,0,2.82
14,2.718,2.729,2.753,2.682,325259.0,88417744.0,2021,3,16,15,0,2021-03-16 15:00,512010,1,0,0,0,0,0,2.707
15,2.717,2.743,2.759,2.678,402326.0,109951376.0,2021,3,17,15,0,2021-03-17 15:00,512010,1,0,0,0,0,0,2.729
16,2.75,2.802,2.81,2.75,418582.0,116828168.0,2021,3,18,15,0,2021-03-18 15:00,512010,1,0,0,0,0,0,2.743
17,2.749,2.737,2.785,2.713,321123.0,88140904.0,2021,3,19,15,0,2021-03-19 15:00,512010,1,0,0,0,0,0,2.802
