datetime,open,high,low,close,volume,amount
2023-01-16 09:35,3198.52,3206.89,3197.32,3206.57,3137580,31375804416.00
2023-01-16 09:40,3207.20,3214.43,3207.20,3213.51,2031134,20311345152.00
2023-01-16 09:45,3213.25,3213.61,3209.08,3211.51,1689157,16891570176.00
2023-01-16 09:50,3211.73,3212.61,3207.70,3212.61,1372517,13725170688.00
2023-01-16 09:55,3212.62,3218.11,3212.49,3217.92,1359679,13596798976.00
2023-01-16 10:00,3217.89,3220.82,3216.36,3218.09,1227934,12279348224.00
2023-01-16 10:05,3217.48,3223.63,3217.04,3223.63,1245732,12457329664.00
2023-01-16 10:10,3223.56,3230.74,3222.47,3229.67,1429663,14296630272.00
2023-01-16 10:15,3229.57,3238.25,3229.57,3235.58,1379287,13792871424.00
2023-01-16 10:20,3236.18,3238.05,3231.94,3232.12,1160304,11603047424.00
2023-01-16 10:25,3232.17,3233.54,3228.49,3228.99,942101,9421017088.00
2023-01-16 10:30,3229.15,3233.31,3227.92,3232.13,872731,8727313408.00
2023-01-16 10:35,3232.13,3233.07,3229.25,3229.29,872159,8721596416.00
2023-01-16 10:40,3229.30,3235.11,3229.30,3234.80,774691,7746919424.00
2023-01-16 10:45,3234.99,3237.67,3231.69,3235.80,798222,7982228992.00
2023-01-16 10:50,3236.00,3237.55,3234.34,3234.81,753691,7536917504.00
2023-01-16 10:55,3234.75,3239.54,3234.75,3237.55,711132,7111321088.00
2023-01-16 11:00,3238.17,3244.13,3238.17,3242.10,732556,7325566976.00
2023-01-16 11:05,3242.58,3244.86,3241.25,3244.08,843623,8436231168.00
2023-01-16 11:10,3244.57,3244.57,3239.15,3240.07,650778,6507789312.00
2023-01-16 11:15,3239.72,3240.11,3236.38,3237.64,570692,5706921472.00
2023-01-16 11:20,3237.50,3240.37,3237.10,3239.02,514180,5141807104.00
2023-01-16 11:25,3239.37,3242.77,3239.37,3241.64,577513,5775131648.00
2023-01-16 11:30,3242.17,3242.37,3240.18,3241.35,500151,5001517568.00
2023-01-16 13:05,3241.42,3246.34,3240.47,3245.89,941694,9416945664.00
2023-01-16 13:10,3246.35,3246.69,3244.59,3245.90,704221,7042212864.00
2023-01-16 13:15,3246.41,3251.23,3245.97,3251.07,839095,8390953984.00
2023-01-16 13:20,3251.18,3251.37,3247.55,3247.74,770721,7707218944.00
2023-01-16 13:25,3247.47,3247.97,3244.36,3244.77,639266,6392668672.00
2023-01-16 13:30,3244.54,3244.92,3238.97,3240.36,644511,6445111808.00
2023-01-16 13:35,3240.31,3240.45,3237.24,3238.56,591202,5912020480.00
2023-01-16 13:40,3238.14,3238.49,3235.37,3235.44,573622,5736226816.00
2023-01-16 13:45,3235.64,3237.16,3233.97,3234.52,539326,5393264640.00
2023-01-16 13:50,3234.40,3235.20,3232.19,3232.87,544912,5449124352.00
2023-01-16 13:55,3232.66,3234.35,3231.73,3233.50,505493,5054937600.00
2023-01-16 14:00,3233.17,3233.47,3230.70,3231.29,488529,4885291008.00
2023-01-16 14:05,3231.24,3233.02,3230.43,3231.43,501631,5016313856.00
2023-01-16 14:10,3231.40,3232.10,3229.68,3231.02,495581,4955818496.00
2023-01-16 14:15,3231.21,3231.21,3228.74,3230.71,505086,5050866176.00
2023-01-16 14:20,3230.73,3232.96,3230.45,3231.78,490406,4904065024.00
2023-01-16 14:25,3231.88,3233.54,3231.63,3232.55,475561,4755616256.00
2023-01-16 14:30,3232.24,3233.22,3231.20,3231.23,490045,4900451840.00
2023-01-16 14:35,3231.65,3233.28,3230.83,3232.28,575083,5750830080.00
2023-01-16 14:40,3231.97,3232.21,3228.22,3228.92,657763,6577636352.00
