date,open,close,high,low,volume
2020-01-06,2868.75,2878.51,2922.39,2852.5,862084
2020-01-07,2888.26,2891.51,2912.64,2859.0,728608
2020-01-08,2867.13,2811.87,2875.26,2806.99,847824
2020-01-09,2836.25,2833.0,2855.75,2790.74,1031637
2020-01-10,2833.0,2816.75,2836.25,2789.12,585548
2020-01-13,2826.5,2865.5,2872.01,2803.74,872133
2020-01-14,2865.5,2828.12,2911.01,2828.12,1304494
2020-01-15,2833.0,2789.12,2844.38,2777.74,859439
2020-01-16,2789.12,2758.24,2797.24,2737.11,1028105
2020-01-17,2766.36,2767.99,2793.99,2761.49,605437
2020-01-20,2774.49,2777.74,2803.74,2761.49,746075
2020-01-21,2759.86,2704.6,2759.86,2693.23,896603
2020-01-22,2691.6,2719.23,2730.61,2657.47,719465
2020-01-23,2691.6,2629.84,2691.6,2605.46,1100592
2020-02-03,2377.92,2377.92,2493.32,2377.92,2259195
2020-02-04,2387.67,2477.06,2486.82,2382.8,1706172
2020-02-05,2475.44,2481.94,2524.2,2431.56,1491380
2020-02-06,2511.19,2504.69,2520.95,2462.44,1185816
2020-02-07,2477.06,2480.31,2491.69,2446.18,924853
2020-02-10,2462.44,2460.81,2465.69,2428.31,1339495
2020-02-11,2477.06,2507.94,2532.32,2470.56,1407507
2020-02-12,2507.94,2504.69,2512.82,2477.06,1070503
2020-02-13,2494.94,2485.19,2522.57,2478.69,1013205
2020-02-14,2501.44,2546.95,2564.83,2493.32,1512435
2020-02-17,2548.58,2602.21,2602.21,2530.7,1543696
2020-02-18,2595.71,2574.58,2595.71,2543.7,973612
2020-02-19,2558.33,2581.08,2602.21,2555.08,874107
2020-02-20,2585.96,2637.97,2642.84,2558.33,1235444
2020-02-21,2621.71,2636.34,2659.09,2615.21,995071
2020-02-24,2616.84,2579.46,2616.84,2566.45,1191795
2020-02-25,2542.07,2548.58,2563.2,2506.32,1144575
2020-02-26,2504.69,2540.45,2585.96,2493.32,1176599
2020-02-27,2535.57,2559.95,2566.45,2524.2,975271
2020-02-28,2517.7,2460.81,2548.58,2454.31,1300644
2020-03-02,2468.94,2507.94,2533.95,2454.31,1116581
2020-03-03,2535.57,2496.57,2540.45,2481.94,1153584
2020-03-04,2490.07,2491.69,2506.32,2462.44,862595
2020-03-05,2509.57,2605.46,2646.09,2498.19,2686602
2020-03-06,2571.33,2546.95,2585.96,2545.33,1228531
2020-03-09,2494.94,2452.68,2498.19,2447.81,1665794
2020-03-10,2441.31,2503.07,2517.7,2441.31,1167865
2020-03-11,2504.69,2491.69,2522.57,2480.31,814382
2020-03-12,2485.19,2490.07,2516.07,2465.69,986497
2020-03-13,2363.29,2464.06,2473.81,2363.29,1169766
2020-03-16,2452.68,2338.92,2454.31,2338.92,1406202
2020-03-17,2338.92,2283.66,2374.67,2238.15,1177849
2020-03-18,2283.66,2169.89,2306.41,2160.14,1384784
2020-03-19,2165.01,2091.87,2174.76,2039.86,1891457
2020-03-20,2119.5,2139.01,2165.01,2096.75,1578353
2020-03-23,2054.49,2078.87,2111.38,2043.12,1071114
2020-03-24,2119.5,2153.63,2165.01,2098.37,1180200
2020-03-25,2197.52,2195.89,2228.4,2168.26,1136958
2020-03-26,2181.26,2226.77,2272.28,2171.51,1075192
2020-03-27,2257.65,2241.4,2278.78,2230.02,653019
2020-03-30,2192.64,2207.27,2223.52,2178.01,661739
2020-03-31,2225.15,2184.51,2231.65,2181.26,513370
2020-04-01,2194.27,2199.14,2238.15,2187.76,520836
2020-04-02,2176.39,2212.14,2212.14,2161.76,518365
2020-04-03,2187.76,2153.63,2199.14,2143.88,825348
2020-04-07,2199.14,2197.52,2207.27,2186.14,870314
2020-04-08,2197.52,2181.26,2204.02,2171.51,528716
2020-04-09,2197.52,2174.76,2199.14,2171.51,408554
2020-04-10,2178.01,2182.89,2213.77,2160.14,666675
2020-04-13,2163.39,2150.38,2169.89,2130.88,446214
2020-04-14,2160.14,2194.27,2194.27,2147.13,686087
2020-04-15,2194.27,2195.89,2205.64,2181.26,656396
2020-04-16,2182.89,2165.01,2182.89,2142.26,789155
2020-04-17,2179.64,2199.14,2223.52,2160.14,1331165
2020-04-20,2194.27,2215.39,2225.15,2179.64,818456
2020-04-21,2265.78,2290.16,2330.79,2265.78,2122448
2020-04-22,2277.15,2254.4,2285.28,2243.02,1032803
2020-04-23,2254.4,2254.4,2267.4,2234.9,646990
2020-04-24,2244.65,2256.03,2262.53,2234.9,566002
2020-04-27,2265.78,2298.28,2321.04,2257.65,936830
2020-04-28,2290.16,2301.53,2308.04,2260.9,771564
2020-04-29,2295.03,2382.8,2395.8,2290.16,1108722
2020-04-30,2382.8,2368.17,2431.56,2360.04,819540
2020-05-06,2340.54,2342.17,2361.67,2316.16,1008998
2020-05-07,2340.54,2329.16,2340.54,2314.54,662749
2020-05-08,2340.54,2371.42,2382.8,2327.54,934782
2020-05-11,2366.54,2379.55,2400.68,2363.29,612862
2020-05-12,2371.42,2345.42,2387.67,2334.04,558511
2020-05-13,2338.92,2319.41,2343.79,2303.16,640359
